window_size,payload_size,run_id,seed,goodput,goodput_mbps,efficiency,utilization,retransmissions,retransmission_rate,frame_error_rate,total_time,rtt_mean,rtt_min,rtt_max,buffer_full_events,backpressure_events,data_valid,complete,error
2,256,0,2298,5363.112911627312,0.0429049032930185,0.5641251652710445,0.007605564497801482,92,0.4444444444444444,0.2909698996655518,9.546694399999971,0.054242824827586016,0.054134399999998806,0.05424320000000016,0,0,True,True,
2,256,1,12298,4941.86971316464,0.03953495770531713,0.5270526229103187,0.007501140490869779,113,0.5458937198067633,0.328125,10.360451199999948,0.054242850160771426,0.054134399999998806,0.05424320000000016,0,0,True,True,
2,256,2,22298,4815.900176021173,0.038527201408169384,0.5328005328005329,0.007231074114295791,110,0.5314009661835749,0.30914826498422715,10.631449599999952,0.0542424697986574,0.054134399999998806,0.05424320000000016,0,0,True,True,
2,256,3,32298,5102.201887113169,0.040817615096905346,0.5494033822645721,0.007429443722872662,100,0.4830917874396135,0.2996742671009772,10.034883199999955,0.0542428311864404,0.054134399999998806,0.05424320000000016,0,0,True,True,
2,256,4,42298,4626.992137005262,0.03701593709604209,0.5086631696073756,0.007277101883475025,125,0.6038647342995169,0.33433734939759036,11.065503999999942,0.05424285239616577,0.054134399999998806,0.05424320000000016,0,0,True,True,
2,256,5,52298,4626.946643208072,0.037015573145664574,0.504930966469428,0.007330818587832788,127,0.6135265700483091,0.3413173652694611,11.065612799999942,0.054242854603174205,0.054134399999998806,0.05424320000000016,0,0,True,True,
2,256,6,62298,4916.182166672118,0.03932945733337694,0.5205368035786905,0.007555557467404212,117,0.5652173913043478,0.345679012345679,10.41458559999995,0.05424285569620222,0.054134399999998806,0.05424320000000016,0,0,True,True,
2,256,7,72298,4791.355914794148,0.038330847318353185,0.5157546941735837,0.007431991943335072,120,0.5797101449275363,0.3516819571865443,10.685910399999939,0.05424285678233406,0.054134399999998806,0.05424320000000016,0,0,True,True,
2,256,8,82298,4649.78542693315,0.0371982834154652,0.5095135737600509,0.007300744343463413,124,0.5990338164251208,0.3413897280966767,11.011260799999944,0.05424285569620218,0.054134399999998806,0.05424320000000016,0,0,True,True,
2,256,9,92298,4537.96690006946,0.03630373520055568,0.5173389378384933,0.00701739856509491,119,0.5748792270531401,0.3343558282208589,11.282585599999928,0.05424284903225764,0.054134399999998806,0.05424320000000016,0,0,True,True,
2,512,0,2554,7522.774022920954,0.06018219218336763,0.46349942062572425,0.012984307963561566,96,0.9411764705882353,0.4797979797979798,6.805999999999998,0.05444625759162302,0.054281600000000374,0.054448000000000274,0,0,True,True,
2,512,1,12554,6765.382047466768,0.05412305637973414,0.42277711718853217,0.01280179417931899,115,1.1274509803921569,0.5069124423963134,7.567939199999998,0.05444640765550237,0.054281600000000374,0.054448000000000274,0,0,True,True,
2,512,2,22554,5877.167205407008,0.04701733764325606,0.36190907034607556,0.012991478107552188,151,1.4803921568627452,0.5889328063241107,8.71167999999998,0.054447329032257935,0.054281599999999486,0.054448000000000274,0,0,True,True,
2,512,3,32554,7902.073553488396,0.06321658842790717,0.4673579669928436,0.013526374405183762,94,0.9215686274509803,0.47959183673469385,6.479311999999999,0.05444713333333333,0.054281600000000374,0.054448000000000274,0,0,True,True,
2,512,4,42554,5951.561726994433,0.04761249381595547,0.36190907034607556,0.013155927197521195,151,1.4803921568627452,0.5770750988142292,8.602783999999987,0.05444730666666658,0.054281599999999486,0.054448000000000274,0,0,True,True,
2,512,5,52554,6765.084552986471,0.05412067642389177,0.40342914775592537,0.013415162668572173,125,1.2254901960784315,0.5330396475770925,7.568271999999996,0.05444723669724768,0.054281600000000374,0.054448000000000274,0,0,True,True,
2,512,6,62554,6397.3156863380145,0.05117852549070412,0.39599059522336344,0.012924177015324374,130,1.2745098039215685,0.5431034482758621,8.003356799999997,0.05444573090909088,0.054281600000000374,0.054448000000000274,0,0,True,True,
2,512,7,72554,6914.469737958885,0.05531575790367108,0.40409142568506123,0.013688921463724102,125,1.2254901960784315,0.5374449339207048,7.404761599999998,0.05444724705882351,0.054281600000000374,0.054448000000000274,0,0,True,True,
2,512,8,82554,6067.112119094387,0.04853689695275509,0.3795516546079943,0.012787955569021195,140,1.3725490196078431,0.5537190082644629,8.438940799999987,0.05444582956521731,0.054281599999999486,0.054448000000000274,0,0,True,True,
2,512,9,92554,5989.469763472108,0.04791575810777686,0.3815428639561226,0.012558420726560141,138,1.3529411764705883,0.55,8.548335999999983,0.05444727652173903,0.054281599999999486,0.054448000000000274,0,0,True,True,
2,1024,0,3066,0.0,0.0,0.0,0.014516545695452536,11,5.5,0.9230769230769231,0.7680064000000001,0.05485760000000001,0.054857600000000006,0.05485760000000006,0,0,False,False,
2,1024,1,13066,7843.664010769347,0.06274931208615478,0.2685464921114468,0.023366275088081884,128,2.5098039215686274,0.6983240223463687,6.527561600000003,0.05485471812865499,0.0543648000000001,0.05485760000000006,0,0,True,True,
2,1024,2,23066,7408.2715977366815,0.05926617278189345,0.19441255262150783,0.030484745960450314,29,2.9,0.7692307692307693,1.0971520000000006,0.05485760000000002,0.05485759999999984,0.05485760000000006,0,0,False,False,
2,1024,3,33066,0.0,0.0,0.0,0.018238736899414725,12,6.0,0.9285714285714286,0.6582912000000001,0.05485760000000001,0.054857600000000006,0.05485760000000006,0,0,False,False,
2,1024,4,43066,6734.792361578803,0.053878338892630426,0.24371002132196162,0.022107559878078453,102,2.6842105263157894,0.7357142857142858,5.430902400000002,0.05485760000000001,0.05485759999999962,0.05485760000000006,0,0,False,False,
2,1024,5,53066,2315.0848742927133,0.018520678994341705,0.08616010854816825,0.021495654202881635,18,4.5,0.8636363636363636,0.8777216000000003,0.05485760000000002,0.054857600000000006,0.05485760000000006,0,0,False,False,
2,1024,6,63066,6688.0229701789585,0.05350418376143167,0.21242923314462173,0.025186827146810836,43,2.8666666666666667,0.7586206896551724,1.9748735999999982,0.05485759999999995,0.05485759999999984,0.05485760000000006,0,0,False,False,
2,1024,7,73066,4873.862893247818,0.03899090314598254,0.22565742714996445,0.017278803378392892,16,3.2,0.7619047619047619,1.0422944000000003,0.05485760000000003,0.054857600000000006,0.05485760000000006,0,0,False,False,
2,1024,8,83066,3268.3551166485363,0.02614684093318829,0.10530679933665009,0.024829204854665415,22,4.4,0.8518518518518519,0.9325792000000004,0.05485760000000003,0.054857600000000006,0.05485760000000006,0,0,False,False,
2,1024,9,93066,3899.090314598254,0.03119272251678603,0.11847014925373134,0.02632960514802726,26,4.333333333333333,0.84375,1.0422944000000005,0.05485760000000003,0.054857600000000006,0.05485760000000006,0,0,False,False,
2,2048,0,4090,5636.92873595742,0.04509542988765936,0.0846332558911384,0.05328334519667358,40,6.666666666666667,0.9130434782608695,1.447596799999999,0.055676799999999964,0.05567679999999986,0.055676800000000026,0,0,False,False,
2,2048,1,14090,0.0,0.0,0.0,0.05096667801420947,20,10.0,1.0,0.7237984000000002,0.05567680000000001,0.05567679999999997,0.055676800000000026,0,0,False,False,
2,2048,2,24090,3330.9124348839287,0.026647299479071428,0.0474771923291752,0.05612652764787947,37,9.25,0.9512195121951219,1.2248895999999996,0.05567679999999997,0.05567679999999986,0.055676800000000026,0,0,False,False,
2,2048,3,34090,4396.804414046786,0.03517443531237429,0.08342420937840785,0.04216334272084604,30,6.0,0.9142857142857143,1.3919199999999994,0.05567679999999998,0.05567679999999986,0.055676800000000026,0,0,False,False,
2,2048,4,44090,3186.0901551063666,0.025488721240850932,0.05725190839694656,0.044520299767352965,30,7.5,0.9411764705882353,1.2805663999999994,0.055676799999999985,0.05567679999999986,0.055676800000000026,0,0,False,False,
2,2048,5,54090,0.0,0.0,0.0,0.05096667801420947,20,10.0,1.0,0.7237984000000002,0.05567680000000001,0.05567679999999997,0.055676800000000026,0,0,False,False,
2,2048,6,64090,0.0,0.0,0.0,0.05096667801420947,20,10.0,1.0,0.7237984000000002,0.05567680000000001,0.05567679999999997,0.055676800000000026,0,0,False,False,
2,2048,7,74090,0.0,0.0,0.0,0.04015556449604382,14,7.0,0.9375,0.6681216000000002,0.05567680000000001,0.05567679999999997,0.055676800000000026,0,0,False,False,
2,2048,8,84090,0.0,0.0,0.0,0.04732620101319452,20,10.0,1.0,0.7794752,0.055676800000000005,0.05567679999999997,0.055676800000000026,0,0,False,False,
2,2048,9,94090,0.0,0.0,0.0,0.04266528727704656,15,7.5,0.9411764705882353,0.6681216000000002,0.05567680000000001,0.05567679999999997,0.055676800000000026,0,0,False,False,
