window_size,payload_size,run_id,seed,goodput,goodput_mbps,efficiency,utilization,retransmissions,retransmission_rate,frame_error_rate,total_time,rtt_mean,rtt_min,rtt_max,buffer_full_events,backpressure_events,data_valid,complete,error
8,256,0,8298,13983.660966139852,0.11186928772911882,0.5206850262376439,0.0214850210956635,234,0.5665859564164649,0.3261205564142195,7.322832000000012,0.05424316898222951,0.054224000000000494,0.05424320000000016,0,0,True,True,
8,256,1,18298,14193.941582172029,0.11355153265737623,0.5355872630654003,0.02120131311702058,216,0.5230024213075061,0.32591414944356123,7.214345600000013,0.05424316857610485,0.054224000000000494,0.05424320000000016,0,0,True,True,
8,256,2,28298,13109.682155756109,0.10487745724604887,0.532202403226477,0.019706310345505636,220,0.5326876513317191,0.3285939968404423,7.811020800000015,0.05424316852459027,0.054224000000000494,0.05424320000000016,0,0,True,True,
8,512,0,8554,16497.31145377402,0.13197849163019215,0.37916938207239764,0.03480726500353146,279,1.3676470588235294,0.5527950310559007,6.207071999999999,0.05444727809110629,0.05411520000000003,0.054448000000000274,0,0,True,True,
8,512,1,18554,18806.935057302373,0.15045548045841897,0.42598509052183176,0.03531942403761386,226,1.107843137254902,0.5116279069767442,5.4448000000000025,0.05444720191846527,0.05411520000000003,0.054448000000000274,0,0,True,True,
8,512,2,28554,16113.233421490831,0.12890586737192666,0.36782608695652175,0.03504533037298242,128,1.2549019607843137,0.5434782608695652,2.940192000000002,0.054448000000000045,0.05444799999999983,0.054448000000000274,0,0,False,False,
8,1024,0,9066,2469.4238659122284,0.019755390927297826,0.05923507462686567,0.03335083318750121,22,2.2,0.6875,0.822864,0.054857600000000006,0.054857600000000006,0.05485760000000006,0,0,False,False,
8,1024,1,19066,10944.037587565554,0.08755230070052443,0.1600116301608839,0.05471621069824416,56,2.6666666666666665,0.7402597402597403,1.2068672000000005,0.05485760000000003,0.05485759999999984,0.05485760000000006,0,0,False,False,
8,1024,2,29066,7202.48627557733,0.05761989020461864,0.09477611940298507,0.06079578966471574,55,3.6666666666666665,0.8142857142857143,0.9874368000000004,0.05485760000000001,0.054857600000000006,0.05485760000000006,0,0,False,False,
16,256,0,16298,21951.095702661405,0.17560876562129124,0.5460052041121017,0.03216247103484321,204,0.4939467312348668,0.31280388978930307,4.664915200000006,0.05424316794657771,0.054224000000000494,0.05424320000000016,0,0,True,True,
16,256,1,26298,20519.502504661745,0.16415602003729396,0.4990837134947557,0.032891480046066235,262,0.6343825665859564,0.36444444444444446,4.990374400000007,0.05424317037037046,0.054224000000000494,0.05424320000000016,0,0,True,True,
16,256,2,36298,20975.49144920979,0.16780393159367832,0.5020592272994705,0.03342313465610022,258,0.6246973365617433,0.36065573770491804,4.881888000000006,0.054243170278637856,0.054224000000000494,0.05424320000000016,0,0,True,True,
16,512,0,16554,18513.076697032026,0.1481046135762562,0.27391304347826084,0.05406993828974433,64,2.2857142857142856,0.6956521739130435,0.7622720000000002,0.05444800000000001,0.054447999999999996,0.05444800000000005,0,0,False,False,
16,512,1,26554,9697.325888921536,0.07757860711137228,0.18679245283018867,0.041531981584876074,68,1.7894736842105263,0.6415094339622641,1.1434080000000004,0.054448000000000024,0.05444799999999983,0.05444800000000005,0,0,False,False,
16,512,2,36554,28933.746242003625,0.231469969936029,0.3953545836422041,0.05854743552069434,260,1.2745098039215685,0.5387931034482759,3.5391200000000045,0.05444649751693008,0.05411520000000003,0.054448000000000274,0,0,True,True,
16,1024,0,17066,6173.5596647805705,0.04938847731824456,0.04860313815537696,0.10161581986816776,58,2.9,0.7564102564102564,0.6582912000000001,0.054857600000000006,0.054857600000000006,0.05485760000000006,0,0,False,False,
16,1024,1,27066,19206.630068206225,0.1536530405456498,0.17458758837391988,0.08800914313368377,108,2.4545454545454546,0.7105263157894737,1.4811552,0.05485760000000002,0.05485759999999984,0.05485760000000006,0,0,False,False,
16,1024,2,37066,19261.506154115385,0.15409204923292308,0.1484445243661212,0.10380446829609755,124,2.9523809523809526,0.7469879518072289,1.3714399999999998,0.05485760000000001,0.05485759999999984,0.05485760000000006,0,0,False,False,
32,256,0,32298,39329.0464672684,0.31463237173814723,0.5460052041121017,0.05762442727076082,204,0.4939467312348668,0.2965964343598055,2.6036736,0.05424316734693879,0.05422400000000005,0.05424320000000016,0,0,True,True,
32,256,1,42298,37755.88460857764,0.3020470768686211,0.5214911387247912,0.057919886732346125,233,0.5641646489104116,0.33746130030959753,2.712160000000002,0.05424316888168559,0.05422400000000005,0.05424320000000016,0,0,True,True,
32,256,2,52298,34959.152415349665,0.2796732193227973,0.5372958905259623,0.0520519929994297,214,0.5181598062953995,0.31100478468899523,2.929132800000002,0.054243168000000036,0.05422400000000005,0.05424320000000016,0,0,True,True,
32,512,0,32554,45870.573310493615,0.3669645864839489,0.4052171710776244,0.09055997935824203,248,1.2156862745098038,0.5353982300884956,2.2323679999999997,0.054447238443935855,0.05411519999999981,0.054448000000000274,0,0,True,True,
32,512,1,42554,42896.15332239131,0.34316922657913046,0.38513513513513514,0.08910358865563386,254,1.3368421052631578,0.5540540540540541,2.2323679999999992,0.05444799999999993,0.05444799999999983,0.054448000000000274,0,0,False,False,
32,512,2,52554,49491.93436132209,0.39593547489057673,0.41253061750676806,0.09597723371019386,240,1.1764705882352942,0.5225225225225225,2.0690239999999984,0.05444722060889924,0.05411519999999981,0.054448000000000274,0,0,True,True,
32,1024,0,33066,6173.5596647805705,0.04938847731824456,0.023694029850746267,0.20844270742188256,124,3.4444444444444446,0.8,0.6582912000000001,0.054857600000000006,0.054857600000000006,0.05485760000000006,0,0,False,False,
32,1024,1,43066,20204.377084736407,0.16163501667789126,0.10579659840333218,0.1527790298717207,159,2.8392857142857144,0.7441860465116279,1.2068672000000005,0.05485760000000002,0.05485759999999984,0.05485760000000006,0,0,False,False,
32,1024,2,53066,10468.209866367055,0.08374567893093644,0.06350977073395907,0.13186266926036486,149,3.311111111111111,0.7783505154639175,1.2617248,0.05485760000000001,0.05485759999999984,0.05485760000000006,0,0,False,False,
